,title,price,year,link,brand,location,age
275,1997 suzuki katana,995,1997.0,https://york.craigslist.org/mcd/d/york-1997-suzuki-katana/7785908508.html,suzuki,york,28.0
276,black 2018 triumph t100,6000,2018.0,https://washingtondc.craigslist.org/nva/mcy/d/woodbridge-black-2018-triumph-t100/7785904961.html,triumph,washingtondc,7.0
277,2022 honda cbr300r,4400,2022.0,https://richmond.craigslist.org/mcy/d/colonial-heights-2022-honda-cbr300r/7785902126.html,honda,richmond,3.0
278,2011 road king,8000,2011.0,https://winchester.craigslist.org/mcy/d/stephens-city-2011-road-king/7785901548.html,missing,winchester,14.0
279,2012 yamaha stryker 1300cc,5000,2012.0,https://washingtondc.craigslist.org/nva/mcy/d/fredericksburg-2012-yamaha-stryker/7785867781.html,yamaha,washingtondc,13.0
280,harley davidson ultra limited,14000,,https://frederick.craigslist.org/mcy/d/frederick-harley-davidson-ultra-limited/7785850251.html,harley-davidson,frederick,
281,1997 yamaha royal star,5200,1997.0,https://fredericksburg.craigslist.org/mcy/d/fredericksburg-1997-yamaha-royal-star/7785849487.html,yamaha,fredericksburg,28.0
282,2020 can-am ryker rally edition,13000,2020.0,https://richmond.craigslist.org/mcy/d/richmond-2020-can-am-ryker-rally-edition/7785844746.html,missing,richmond,5.0
283,2016 ktm 1290 super adventure,11250,2016.0,https://winchester.craigslist.org/mcy/d/upperville-2016-ktm-1290-super-adventure/7785838093.html,ktm,winchester,9.0
284,2021 honda crf 300 rally,5500,2021.0,https://richmond.craigslist.org/mcy/d/charles-city-2021-honda-crf-300-rally/7785834005.html,honda,richmond,4.0
285,2021 harley davidson heritage classic,17500,2021.0,https://annapolis.craigslist.org/mcy/d/bowie-2021-harley-davidson-heritage/7785821525.html,harley-davidson,annapolis,4.0
286,honda vfr 800,3800,,https://washingtondc.craigslist.org/nva/mcy/d/woodbridge-honda-vfr-800/7785799948.html,honda,washingtondc,
287,can-am 2012 spyder r/t limited,14000,2012.0,https://smd.craigslist.org/mcy/d/saint-leonard-can-am-2012-spyder-t/7785790647.html,missing,smd,13.0
288,boss hoss trike 41 willys,27500,,https://annapolis.craigslist.org/mcy/d/deale-boss-hoss-trike-41-willys/7785723066.html,missing,annapolis,
289,2018 vespa gts super abs,4750,2018.0,https://charlottesville.craigslist.org/mcy/d/charlottesville-2018-vespa-gts-super-abs/7785698828.html,missing,charlottesville,7.0
290,2014 street glide,15000,2014.0,https://smd.craigslist.org/mcy/d/avenue-2014-street-glide/7785696347.html,missing,smd,11.0
291,2003 gsxr 750,4000,2003.0,https://baltimore.craigslist.org/mcy/d/middle-river-2003-gsxr-750/7785671613.html,missing,baltimore,22.0
292,2017 polaris slingshot,19500,2017.0,https://baltimore.craigslist.org/mcy/d/westminster-2017-polaris-slingshot/7785659997.html,missing,baltimore,8.0
293,2006 kawasaki vulcan 900 classic,4998,2006.0,https://lynchburg.craigslist.org/mcy/d/altavista-2006-kawasaki-vulcan-900/7785654397.html,kawasaki,lynchburg,19.0
294,2014 moto guzzi griso 1200se,8499,2014.0,https://washingtondc.craigslist.org/doc/mcy/d/fort-washington-2014-moto-guzzi-griso/7785644657.html,bmw motorrad,washingtondc,11.0
295,dualtron eagle pro,850,,https://washingtondc.craigslist.org/nva/mcy/d/arlington-dualtron-eagle-pro/7785642292.html,missing,washingtondc,
296,2006 victory vegas,5300,2006.0,https://washingtondc.craigslist.org/doc/mcy/d/fort-washington-2006-victory-vegas/7785638973.html,missing,washingtondc,19.0
297,1986 suzuki sp 125,995,1986.0,https://york.craigslist.org/mcd/d/york-1986-suzuki-sp-125/7785629415.html,suzuki,york,39.0
298,1969 honda cb 350,2700,1969.0,https://york.craigslist.org/mcd/d/york-1969-honda-cb-350/7785623319.html,honda,york,56.0
299,1982 yamaha xs 400 heritage special,1295,1982.0,https://york.craigslist.org/mcd/d/york-1982-yamaha-xs-400-heritage-special/7785621589.html,yamaha,york,43.0
300,2018 honda crf450r,6500,2018.0,https://frederick.craigslist.org/mcy/d/frederick-2018-honda-crf450r/7785617637.html,honda,frederick,7.0
301,2022 triumph street twin,13500,2022.0,https://easternshore.craigslist.org/mcy/d/stevensville-2022-triumph-street-twin/7785604426.html,triumph,easternshore,3.0
302,2021 klx 230 abs for sale,4500,2021.0,https://baltimore.craigslist.org/mcy/d/baltimore-2021-klx-230-abs-for-sale/7785535995.html,missing,baltimore,4.0
303,2006 honda st1300 abs,7500,2006.0,https://harrisonburg.craigslist.org/mcy/d/harrisonburg-2006-honda-st1300-abs/7785521179.html,honda,harrisonburg,19.0
